Contour,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt09,Pt10,Pt11,Pt12,Pt13,Pt14,Pt15,Pt16
123,30.2448,25.9013,20.9627,16.9081,15.5341,12.1744,10.4312,9.36442,7.56211,7.04923,5.08971,4.15448,3.43052,3.07589,2.96268,2.62264,,,,,,,,,,,,,3.60845,2.67028,,
124,29.5463,25.828,21.1863,16.4881,15.699,12.53,10.4955,9.3483,7.62206,7.00041,5.07194,4.18812,3.82337,3.11795,3.10123,2.48445,28.4683,,,,,,,,,,,,4.01281,,1.0281,
125,29.7329,26.2857,20.9369,16.2561,15.5858,12.6135,10.5261,9.44753,7.42127,7.09669,5.09784,4.20533,4.04608,3.32629,3.12774,2.48262,,,,11.3663,,,,,,,,,,,,
126,29.0622,25.7626,20.6269,16.0839,15.7441,12.7287,10.3026,9.24458,7.19631,7.11393,5.27194,4.42316,4.04206,3.26824,2.99949,2.50961,,,,,13.3062,,,,,,,,,5.48947,,
127,29.0333,25.974,21.3462,16.3851,15.8319,12.9658,10.1374,9.2217,7.28653,6.77931,5.25591,4.34357,4.05563,3.3925,2.99194,2.48137,19.4521,,,,,11.6909,,6.52883,,,,,,,,3.46323
128,28.8606,25.1983,21.4873,16.3703,15.7166,13.2139,9.99151,9.32122,7.46121,6.82359,5.39538,4.4311,4.07299,3.66318,2.97682,2.30943,34.1131,,,,,,,,,6.10871,6.34122,4.13284,,,,
129,28.3175,25.2158,21.699,16.7606,15.5977,12.7341,9.992,9.11696,7.29275,6.70173,5.60654,4.42537,4.02756,3.68935,2.91249,2.20713,25.0442,,,,16.9955,,9.63729,,,,8.23195,,,,3.17137,1.09876
130,28.6206,25.5906,21.9288,16.7962,15.836,12.6068,9.90697,9.12763,7.4286,6.51916,5.57301,4.21883,4.0891,3.62848,2.97527,2.17624,,,31.3249,,,,,,,,,,3.64454,,,
131,28.5332,26.0495,21.6091,16.9804,15.7139,12.939,9.97287,9.26556,7.37487,6.81919,5.84626,4.12044,4.10885,3.51033,2.95089,2.06104,,,,,,11.4947,,,,,,,,,,
132,29.0184,25.3535,21.7025,17.2325,15.2371,12.9453,9.75151,9.12655,7.61984,6.79542,5.69991,4.13975,4.29252,3.55282,2.9899,2.0436,,,15.1329,16.9436,,,,4.98985,,,,,5.42037,,,
133,29.2486,24.5317,21.4666,17.3931,15.1012,13.3055,10.0713,9.16736,7.59063,6.94059,5.73116,4.54115,4.19769,3.57689,2.92378,1.98659,,33.1708,,18.382,20.0001,,,8.43288,8.68088,,,4.63816,,4.96316,,1.02364
134,29.4078,24.8889,21.5369,17.5444,15.0547,13.3396,9.86179,9.03886,7.46987,6.82954,5.73022,4.55577,4.22324,3.62249,2.93619,1.92454,,13.4985,20.5522,,,,10.6138,6.48975,,,,4.42464,,,,
135,29.7281,25.5379,21.5978,17.6437,14.8748,13.2275,9.903,9.02128,7.46255,6.86918,5.65983,4.49103,3.93865,3.64813,2.78362,2.08439,,,13.4615,,,,,9.11551,,,,4.26674,,,,
136,29.4386,24.9692,21.932,18.0143,15.2213,13.113,9.73371,9.10357,7.39933,6.72855,5.53051,4.69301,4.0271,3.65233,2.71157,2.12726,,,,,,11.6,,,8.89991,6.54444,,5.41258,,,,
137,29.7622,24.9852,22.3115,18.393,15.2801,13.2075,9.70604,9.31549,7.58064,6.40344,5.61865,4.66277,4.23186,3.64382,2.8532,2.07377,,,,,,,11.5454,,,6.0662,,,1.96545,,,
138,30.119,24.8031,22.5259,18.3949,15.2829,13.3719,10.0171,9.42688,7.63298,6.60635,5.37836,4.76707,4.20391,3.50084,2.6969,2.23394,21.5463,,,,,,,,8.8555,,,,,,1.98357,
139,30.1812,25.0943,22.3847,18.5101,15.2605,13.1864,10.114,9.29408,7.51671,6.57075,5.55923,4.74975,4.04307,3.20645,2.66536,2.44673,26.2678,,,,3.6224,,,7.5843,,,,,,,,
140,30.1273,24.9765,22.1434,18.3382,14.9645,13.5387,10.2897,9.30037,7.70329,6.62397,5.3418,4.81686,3.88499,3.02937,2.73281,2.56656,,20.3425,,,13.741,,,,,,,,,4.05196,,
141,30.129,24.3815,21.9123,18.9311,15.3224,13.3591,10.4656,9.03769,7.74427,6.80158,5.34796,4.97044,3.86612,2.96538,2.76069,2.54793,,,,,,,9.31726,,4.88361,,,,,1.73116,3.39327,
142,30.6478,24.5979,22.1771,18.6629,15.3742,13.1022,10.5909,8.97332,7.81771,6.67069,5.21699,5.0505,4.0516,3.10319,2.88985,2.58999,,,,,13.7719,,,8.51813,,,6.58396,,5.69427,,,
143,30.6452,24.9557,22.1255,19.0925,15.5383,13.1299,10.6058,9.03019,7.53175,6.75548,5.21598,5.01416,4.05696,3.11993,2.78585,2.5693,,31.2273,12.5014,22.5929,,13.9619,,,7.19542,,,,3.04399,,,
144,30.7002,25.136,21.8281,19.066,15.4361,12.9163,10.7976,9.16975,7.81374,6.60139,5.11481,4.82129,4.15281,3.0903,2.82303,2.58238,,,,,,,,,,6.34183,,,3.30766,,5.81625,2.34719
145,30.6735,25.138,22.5001,19.0877,15.9622,12.893,11.1117,9.54092,7.99364,6.42014,5.05496,4.757,4.23353,3.39324,2.79959,2.56807,,,,16.4501,,,11.0507,,,8.88495,,,,,,
146,30.4436,24.5736,22.0483,19.2522,15.9342,13.1053,10.8518,9.57176,8.04046,6.14825,4.88351,4.98022,4.32673,3.36438,2.88402,2.59907,,,,,16.4868,,,,,,,,7.19154,,,1.91579
147,30.6103,25.0936,22.2266,19.3769,15.9612,13.001,10.831,9.50115,8.13174,6.53956,5.12283,4.74935,4.07363,3.24557,2.9117,2.4857,,,26.9205,,,,,11.7902,,,,,,,,
148,30.6359,25.3204,22.0352,19.4262,15.6967,13.0712,11.0159,9.36131,8.28849,6.70176,4.97011,4.85839,3.88911,3.14534,2.78757,2.53804,,,,,,,,,,,,3.37333,,,,
149,30.209,25.549,21.2365,19.5161,15.6121,13.1319,10.9526,9.31536,8.26707,6.79367,5.29269,4.81069,3.85023,3.26763,2.80119,2.49594,,31.7313,,18.7694,,,,,,6.335,,,,2.59053,0.676336,
150,30.1605,26.0906,21.5493,19.5428,15.4668,13.0934,11.0426,9.2525,8.25592,6.89857,5.07355,4.84555,3.96035,3.3768,2.89906,2.29687,,35.5489,,,,,,12.6587,10.3824,5.72162,,4.25427,,,5.78119,
151,30.7921,26.553,21.5913,19.5718,15.9574,12.8656,11.0481,9.06682,8.30056,6.87562,5.13149,4.73579,4.10944,3.48475,2.84864,2.29883,,,20.9388,29.0537,,15.7152,,,,1.85618,8.44388,,,3.45037,,
152,30.5443,27.1154,21.9631,19.1554,15.5685,13.2013,11.2428,9.02257,8.10706,6.71307,5.21478,4.6705,4.19382,3.5551,2.8842,2.23043,,,,,,,,,,7.30059,,,,,3.56747,
153,30.4393,26.7393,21.8342,19.4125,15.4737,13.027,11.1448,9.14872,7.99375,6.616,5.37609,4.67912,4.11045,3.52218,2.98713,2.37701,,,,,,,8.49411,,,,3.40524,,,,,1.86268
154,29.8605,26.7786,21.4628,19.2918,15.0555,13.2129,10.9572,8.94021,7.97387,6.4442,5.58629,4.73055,4.05753,3.5356,3.18389,2.39897,,27.3206,,,,,,9.78556,,,,,,,4.00824,
155,30.1482,27.5196,21.8647,19.3697,15.0643,13.2946,10.8159,8.88091,7.68289,6.28591,5.46136,4.90875,4.13184,3.45694,3.11911,2.47855,,30.2158,,18.5507,,,,,,,,,,,,
156,30.2607,27.1405,21.2886,19.3382,15.1493,13.2391,10.9011,8.68684,7.61901,6.441,5.63057,4.73991,4.19031,3.30059,3.02497,2.51601,23.0792,,,,14.9528,,,,,,,,,5.77981,,
157,30.1889,27.6553,21.4065,19.5392,14.8915,13.062,10.7449,8.61025,7.79788,6.71169,5.57879,4.72377,4.19907,3.30106,2.94833,2.4964,33.7875,30.137,,,,,,,,0.972262,,,,3.1921,,
158,30.5689,27.8722,20.7727,18.759,14.4105,13.429,10.708,8.62937,7.74396,6.36508,5.58611,4.74614,4.27904,3.34806,2.93974,2.73179,,,,,20.1148,,,,,11.5123,,3.50469,5.68548,,,
159,30.187,28.2994,20.9638,18.6458,14.5017,13.3342,10.4696,8.4704,7.695,6.31683,5.69357,4.43638,4.25612,3.44509,3.02015,2.60455,,,,16.8617,,10.8128,,,,,,2.91306,,,,
160,30.1163,28.0151,21.3024,18.8253,14.243,13.2103,10.7682,8.41574,7.69663,6.15958,5.46536,4.44548,4.47089,3.33419,3.11865,2.53162,,,,,,15.3907,10.3312,4.63488,6.42827,,6.63116,,,,3.02761,
161,29.9304,27.4154,21.1167,19.1643,14.1852,13.999,10.6508,8.71916,7.75335,6.00229,5.50819,4.42076,4.38842,3.26222,3.08142,2.54855,,,,,,,,,6.52696,,,,,1.70039,,
162,29.978,26.4127,21.0862,18.9994,14.3383,14.1628,10.4969,8.7018,7.71017,6.35652,5.61476,4.5765,4.30056,3.19608,3.14369,2.62203,,,,,,,,,,,,4.656,,3.11161,,
163,30.3619,26.1965,20.7372,18.6695,14.3197,14.417,10.4435,9.1218,7.73922,6.53074,5.4295,4.57594,4.42178,3.16708,3.11632,2.7638,,24.1904,,,,,,,,,2.52977,,2.71893,1.21665,,
164,30.5225,26.242,20.538,18.4131,14.5211,14.5567,10.396,9.15711,7.7803,6.43565,5.20208,4.68012,4.31331,3.19718,2.94863,2.7475,31.6426,26.3184,,16.6515,,,,,,,,5.95347,,3.19693,,
165,31.2255,26.2889,20.1975,18.471,14.4507,14.2803,10.3534,9.14131,7.8694,6.28449,5.10995,4.47895,4.30749,3.23132,2.84047,2.6654,,,,,,,,,,4.976,,,,,,
166,30.5624,26.0147,20.211,18.4021,14.6999,14.2259,10.3259,9.04974,7.81233,6.33198,5.29987,4.53601,4.09663,3.19943,2.89789,2.618,,,,,,,14.0214,,,6.58238,,,,,,3.89392
167,30.4314,26.1158,20.3018,18.1967,14.3688,14.3472,10.4745,9.29548,7.71689,6.35988,5.38084,4.80014,3.94991,3.19187,2.8917,2.6248,30.9793,,,,,,12.7434,7.18181,,3.73577,,,2.66851,,,3.1582
168,30.912,26.1291,20.9832,17.749,14.6138,14.2071,10.603,9.60368,7.50731,6.416,5.6985,4.67262,3.92385,3.09749,2.97761,2.56687,,,17.7162,,21.825,,15.3256,,7.9465,5.41763,,,,3.16045,,
169,31.1961,25.9152,21.6,18.3296,15.1339,14.0818,10.7986,9.64093,7.85589,6.44581,5.57213,4.73157,3.98084,3.03393,3.07371,2.3027,,,,,,,8.20078,,,,,,,1.14497,,0
170,31.0877,25.4923,21.7197,18.535,15.1641,14.0838,11.1154,9.6891,7.73528,6.65517,5.78191,5.03633,3.98311,2.9838,3.03983,2.27791,,,,,,,,,,,,,,,,
171,31.2296,25.5134,21.7602,18.1202,15.6862,13.9034,11.0666,9.56174,7.97599,6.78643,6.0381,5.01476,3.97474,3.00483,2.92886,2.32286,,,28.9278,12.5783,,,,,,,,,3.23396,0,2.06132,
172,31.1696,26.2106,21.4665,17.9544,15.8484,13.6768,11.0444,9.71662,8.03148,7.0698,6.11776,5.01384,4.05735,3.04027,2.7812,2.36033,35.5268,,,,,15.1788,,,,,9.55338,,2.97949,,,
173,30.9781,27.5368,21.5333,18.0493,15.654,13.5438,11.0437,9.96938,8.05577,6.73975,6.13644,4.9987,4.10375,2.9662,2.74329,2.27431,,,,,,,,,10.619,,,,,,,
174,30.5843,27.8202,21.9971,18.2779,15.6907,13.2817,11.3019,10.0251,7.96837,6.72643,6.1863,4.99015,4.02911,3.01144,2.86207,2.26498,,23.2043,,,,13.6314,,,,,,,,,3.76091,
175,29.6196,27.9091,22.5766,18.3154,15.7664,13.5019,11.0718,9.88373,7.77732,6.87205,6.48205,4.93474,3.98974,3.0358,2.74976,2.23601,,29.438,,25.053,,9.00503,,,,,,,,,0,3.68366
176,30.6205,27.9244,23.2999,18.0606,16.0608,13.8969,11.1999,9.99192,7.94958,7.16953,6.4496,5.08616,3.93879,3.00921,2.68703,2.1898,,,,,,,,,,,6.90463,,,,,
177,31.5309,28.0665,23.6784,18.0774,15.836,13.9445,11.1953,10.185,7.90848,7.24006,6.40247,5.1454,4.11876,3.18207,2.83568,2.21839,,,,,14.5911,,12.0798,,,,,,5.75261,,,
178,31.2172,27.8749,23.551,18.1885,15.9316,13.885,10.843,9.84854,7.98715,7.28371,6.43267,5.15989,4.15132,3.13085,2.95653,2.09032,,,,,25.8096,,,,,,,2.45406,1.97741,3.80843,,
179,30.9195,27.8573,23.2876,18.6347,16.0341,14.0423,10.9662,9.51346,7.89455,7.11022,6.37168,5.31147,3.99749,3.42752,2.87376,2.14708,,18.7632,,,,,,,1.31431,,,4.70068,,,,
180,30.1974,27.4294,23.3518,18.6557,15.7568,13.6665,10.9661,9.36068,7.5108,7.10161,6.21518,5.36528,4.09431,3.43716,2.83293,2.27477,,,,,,,,9.86113,,,6.38685,,,,,2.68997
181,30.9719,27.703,23.6692,18.7672,15.9182,13.4695,10.7882,9.61302,7.75957,6.93291,6.05464,5.31084,4.07714,3.42151,2.84638,2.27476,,,,,10.1614,,12.5514,,,,,,,,2.64532,
182,31.0364,28.5783,24.035,18.4454,15.5953,13.874,10.8959,9.64874,7.53777,6.69329,6.04369,5.33333,4.04786,3.50624,2.9586,2.19931,,,,,,,,,4.57539,,,,,,,
183,31.0219,28.5024,24.0094,18.5612,15.8943,13.3964,11.0892,9.60279,7.42444,6.63883,6.04646,5.20249,4.03261,3.54232,3.13738,2.30019,,23.7215,,,,,,,,,5.15473,,,,,
184,30.7865,27.4657,24.0392,18.4543,15.9682,13.6091,10.8337,9.45002,7.39209,6.64944,6.07307,5.13384,3.99673,3.77652,3.08586,2.38734,,,,,15.4274,,,,,,5.72958,,5.7298,3.80784,,
185,30.8272,27.0158,23.3378,18.5838,16.1465,13.7589,10.5804,9.47173,7.19879,6.71741,6.11221,5.07256,3.89811,3.74854,3.00812,2.23598,,,,,,,,,,,,,3.50803,,,
186,32.1154,27.0285,22.9753,18.8418,16.1766,13.5454,10.6576,9.7557,7.5409,6.7399,5.94561,5.06947,3.9979,3.67136,3.08148,2.16763,,,,,,,,,,,,4.5523,4.04708,,,
187,31.8277,27.3356,22.892,19.0749,16.5999,13.3482,10.7745,9.97676,7.47414,6.71621,6.02497,4.97172,4.01424,3.72889,2.9949,2.23549,31.263,,,27.5451,,7.09627,14.1217,14.2953,,,,,,,,1.64315
188,31.3787,27.441,22.7378,19.2727,16.7862,13.3717,10.6676,9.92471,7.74579,6.93949,5.91619,4.81321,4.00715,3.6218,2.87833,2.24173,,31.465,,,,,,,,,,,,,,2.55016
189,31.4849,27.546,22.7033,19.3262,16.9351,13.5131,10.8342,9.97288,7.84239,6.81113,5.92109,4.8306,3.95361,3.61961,2.76072,2.29421,,,,20.1751,14.7208,,,,,,,,4.91643,3.51877,,
190,31.6122,27.557,22.8506,19.2469,17.0282,13.5326,10.9904,9.99074,8.04952,6.91505,5.86755,4.82615,4.06189,3.36109,2.81465,2.3787,,11.6935,29.7166,,,,,,,6.27773,,,2.67245,,,2.53198
191,32.1629,27.9851,22.8859,19.3528,16.8246,13.9644,11.0589,10.3059,8.12921,7.12364,5.91768,4.72837,3.99228,3.33032,2.91424,2.44787,,43.5249,,,,,7.51279,,,,,4.90025,3.08583,,,
192,32.3099,27.7972,22.7989,18.8433,16.9863,14.2404,11.1075,10.2348,8.00317,7.11155,5.99573,4.88541,4.19493,3.43798,2.91942,2.50911,,,,,,,,,10.0013,,,,,,3.56216,
193,32.6306,27.0716,22.7089,19.838,17.4524,13.7631,11.1714,10.4703,8.22235,7.35646,5.97784,4.97137,4.37051,3.35884,2.75049,2.53118,34.2182,30.0213,,,,,,12.9319,,8.45993,,,2.29304,5.14173,,
194,33.1225,26.6483,23.2577,19.6371,17.2981,13.9174,11.4899,10.5469,8.26039,7.50075,6.07091,5.13093,4.41786,3.40444,2.7663,2.46306,,,29.3403,,,22.7412,,,7.37314,,,,,,,
195,32.8549,27.677,23.7408,19.8877,17.2543,14.0595,12.0552,10.783,8.37066,7.52621,6.1795,5.22694,4.40027,3.4844,2.9011,2.31658,,,,29.3376,19.391,,,,,8.31193,,,,,,
196,33.9733,27.88,24.2921,20.4024,17.26,14.1847,11.9091,10.5236,8.73147,7.47765,6.17295,5.22001,4.51456,3.53279,2.98332,2.35093,54.1847,,,,8.99729,,11.2889,,,,,3.73518,,,,
197,33.5468,28.2377,24.4541,20.659,17.321,14.1216,12.0704,10.2915,8.87636,7.5334,6.25007,5.27814,4.63312,3.55843,3.13263,2.41856,,,34.4627,,,,9.59599,,,9.91435,,4.28313,,,,
198,33.7494,28.2994,24.502,20.6937,17.1408,14.1078,12.428,9.75671,8.84053,7.52364,6.06326,5.49759,4.78958,3.45161,3.2578,2.64495,40.7786,,19.5496,23.2025,,,13.401,13.4062,10.9985,,,,6.10652,,,
199,34.1398,28.5692,24.6638,21.0354,17.3779,14.251,12.667,9.84108,8.73874,7.58119,6.30085,5.5001,4.69815,3.60161,3.358,2.64113,,,,,23.5187,,15.9635,,,,,,,,,3.13027
200,35.0035,28.4952,25.197,21.2662,17.3166,13.9514,12.871,10.084,8.78297,7.83763,6.13822,5.47713,4.87312,3.81093,3.47109,2.76589,,23.7601,,,,,,10.319,,,,5.0115,,,6.69135,
201,35.0517,28.4263,25.4283,21.2794,17.4764,14.3525,12.9118,10.3336,8.83495,7.94436,6.43281,5.56311,4.84855,3.99489,3.46695,2.698,36.8365,,,,20.8929,,,,,,,,,4.16189,,
202,35.131,28.4811,25.5781,21.4698,17.7262,14.1379,12.9283,10.5186,9.13109,7.89102,6.5593,5.63345,4.77907,4.0461,3.34886,2.61562,,,27.4028,,10.0451,,,,9.31229,,,6.43434,,,,
203,35.1032,28.9829,25.8114,21.8069,17.5649,14.1359,13.036,11.1188,9.18178,8.07937,6.52862,5.81521,4.84083,4.11386,3.44709,2.7739,,,,21.9988,,,21.5666,5.8593,7.85438,,6.64122,,,,,
204,35.4798,29.593,26.5582,21.44,17.2865,14.5944,13.2225,11.1221,9.2785,8.24656,6.50076,5.66889,4.86686,4.22288,3.73475,2.94792,,19.9319,,,,,,,,10.8967,,,,,,4.53696
205,35.3193,30.1601,26.7719,21.7237,17.5259,14.8485,13.1868,11.026,9.5545,8.19551,6.71807,5.95168,4.86978,4.31294,3.75768,2.95217,42.6252,,,,,,,,9.87612,,,,,,,
206,36.5267,30.5566,26.6456,22.1266,17.9221,14.845,13.1343,11.0201,9.87324,8.37616,6.56273,6.13583,4.97092,4.38897,3.79998,3.11213,,,,,,,12.966,,,,5.03008,,,7.45839,,
207,36.523,30.8159,27.0162,22.0794,18.1072,15.1811,13.4989,11.3603,9.96018,8.77595,6.7126,6.21937,4.86823,4.55983,3.85334,3.28884,31.6528,,,,,18.8963,19.4683,,12.0235,,3.39033,,,,,5.63763
208,37.04,30.3852,27.2012,22.0368,18.1643,15.8394,13.5775,11.492,9.89611,8.97647,6.8359,6.36299,5.01051,4.79287,3.70754,3.4005,,32.3928,,,,,,12.1596,,,,,,,,5.63437
209,37.0232,30.6077,27.8797,22.4784,18.6375,16.2166,13.4514,11.7996,10.1099,9.2402,7.03634,6.40087,4.89888,4.94957,3.81269,3.37993,43.0178,,,,,14.6331,11.6351,,,,,,,,,
210,37.0243,30.6367,27.9212,22.6729,18.8941,16.3227,13.4593,12.0701,10.34,9.21232,7.10852,6.67016,5.14018,4.75274,3.76462,3.38487,,19.7092,,,,,,,,,,,,5.00867,,
211,37.5902,31.6846,27.7812,22.6572,19.1665,16.7883,13.4938,12.1782,10.3899,9.55232,7.31536,6.77775,5.18391,4.74006,3.9932,3.30443,,,,,,,17.3663,,,,8.87312,,,,1.88569,
212,37.9634,32.1421,27.9036,23.1557,19.1466,16.736,13.6064,12.2296,10.5599,9.68976,7.22922,6.66739,5.35919,4.82607,4.20008,3.41543,36.2335,,,16.3411,,,,12.8023,,13.3352,,,,,,
213,38.5037,32.7303,28.5776,23.3164,19.8081,17.3406,13.8641,12.5121,10.6166,9.8662,7.47338,6.91785,5.5971,4.96823,4.3708,3.61602,,33.6505,,,,,,,,,7.55295,,,,,
214,39.1023,33.2416,29.0737,23.8827,20.2148,17.7188,14.4193,12.2989,10.9564,10.2354,7.84776,6.92859,5.43304,5.03048,4.48816,3.64289,32.9249,,32.5226,,,,,,,,,6.09253,,,5.13636,
215,39.2613,33.6633,28.8186,25.0093,20.6789,18.2451,14.6272,12.6436,11.0866,10.169,8.26495,7.33134,5.45401,5.14994,4.61431,3.8118,,,26.4009,,,,,,,,,,,,,
216,40.3789,34.1738,29.3993,25.3482,21.031,18.7311,15.0074,12.9799,11.2201,10.4853,8.22886,7.45029,5.77127,5.54356,4.62361,3.98298,,,25.4289,,,,,,,,,,,,,
217,41.1253,34.5494,30.2008,25.7418,21.1393,19.2767,15.6994,13.4458,11.3427,10.8104,8.70557,7.59567,6.17555,5.6809,4.81425,4.16743,,,,23.3885,,,,,,,,,,,,
218,41.6358,35.4304,30.7627,26.3407,21.9393,20.0473,16.3973,13.7267,11.9467,10.8285,9.06441,8.08984,6.55777,5.93784,4.97406,4.27272,,,,,,26.3303,,,,11.4588,,8.97022,6.50433,,,
219,43.7046,37.4026,32.4093,28.0173,22.9587,20.6296,17.7247,14.4608,12.6406,11.4444,9.45613,8.49608,6.93461,6.12872,5.50695,4.49311,,,,,,,,,,,,13.7439,8.23406,,,
220,45.8657,39.849,33.7197,29.184,23.8221,21.9545,18.9328,15.7615,13.491,12.3132,10.1145,8.94044,7.61632,6.36348,5.98406,4.78333,,,,,,,14.5377,13.815,13.0206,,,,,,6.9023,
221,48.3819,41.8666,36.074,30.8564,25.5778,23.56,20.4008,16.8426,14.4913,13.1468,10.9875,9.60376,8.27154,7.09431,6.59404,5.51365,,,,,,18.9195,,,,,,,,,,7.93147
222,50.73,44.4166,39.0548,33.3801,27.919,25.442,21.9409,18.2222,15.7476,14.0417,11.9891,10.6829,8.99932,7.72264,7.09777,6.12773,,,,,,26.8434,23.0823,,13.5139,10.6326,,,,5.29891,,
223,55.421,48.1477,42.5422,36.1441,30.3095,27.6619,23.8774,20.0114,17.3958,15.6129,13.2394,11.8463,10.0752,8.72949,7.76892,6.82978,,,,,,,,,,,,11.1752,,7.84657,,2.96505
224,59.8832,52.6142,45.772,39.7854,33.0799,30.3764,26.1315,21.9431,19.2764,17.0075,14.6196,13.0215,11.3228,9.71253,8.75252,7.59417,,,62.5843,,,,,,,,,,,,,
225,65.2551,57.0816,49.491,43.401,36.574,33.2992,28.6867,24.347,21.3954,18.7122,16.1632,14.3189,12.8071,10.8812,9.70683,8.60594,,58.0306,41.5434,57.1793,,,,,,,,8.64807,13.1059,,,
226,71.1722,62.1276,53.7779,47.1205,40.1878,36.1713,31.2903,26.9578,23.7119,20.8493,17.8551,15.7407,14.239,12.0672,10.5225,9.36893,,,,,,,,,,,,14.8016,,,,
227,77.1813,67.3661,58.2346,51.289,43.9509,39.2549,34.4718,29.5268,25.9167,22.7345,19.8036,17.2492,15.5683,13.0086,11.7676,10.3444,,,,,35.8442,,,,,,,,,,,7.60395
228,83.0342,72.2238,62.6529,55.1073,48.1421,42.4051,36.9296,31.9054,28.03,24.6941,21.3906,18.7943,16.8108,14.2017,12.807,11.1956,,,,40.5829,,,,,,,,,17.1745,,,
229,88.0075,76.7519,66.6741,58.4854,51.18,44.7508,39.3332,34.2504,29.7146,26.2347,23.0166,20.1786,17.9977,15.1913,13.7753,12.0954,,,,,63.9695,,,,,33.1415,19.6507,,,,,
230,91.5349,79.7411,69.26,60.5665,53.7023,46.8522,40.8769,35.8914,31.1412,27.4604,24.3539,21.148,18.8998,15.9581,14.4584,12.8424,,,,,,,,,,,,11.189,,,,
231,90.1363,78.6495,68.8911,59.9347,53.4286,46.3242,40.6027,35.7663,30.9164,27.1868,24.7203,21.3564,19.0839,16.3044,14.4619,13.0693,,,,,,,,,47.2085,30.4408,,,19.0003,,,
232,87.2639,76.6849,66.1635,58.2032,51.7411,44.6905,39.6701,34.8929,30.422,26.7025,24.1913,20.8958,18.7788,16.1128,14.167,12.7697,,70.2752,,,,46.8884,,,35.3571,,,,,,,15.7748
233,82.6971,72.4882,62.7963,55.5073,48.8746,42.2193,38.1133,33.6096,29.1598,25.6889,23.1247,19.8177,18.2492,15.6359,13.5655,12.3778,,,,53.411,36.616,21.3112,,,,29.7691,,19.8596,,,11.0619,
234,75.3527,66.801,57.6999,51.2597,45.6824,38.9428,35.5826,31.5669,26.9129,23.6816,21.7693,18.6046,17.0147,14.4533,12.7264,11.6706,101.419,,60.5411,,,,,,,,,,14.13,,,
235,67.4513,59.2728,51.7561,45.6202,41.5038,34.7786,32.4411,28.4342,24.3939,21.4837,19.8232,17.0731,15.4198,13.1497,11.4423,10.7267,83.167,,49.4531,,,,,,,,,14.8936,,,,
236,61.94,54.4958,48.2415,42.541,38.1029,32.1097,29.5156,26.1637,22.2903,19.7151,18.2741,15.7165,14.0777,12.0882,10.4149,9.70557,,,,,,,50.8446,,,,15.9932,,15.924,,,
237,56.1307,49.6412,43.9573,38.5707,34.4519,29.2207,26.6903,23.2911,20.0769,17.7292,16.3972,14.2605,12.6186,10.851,9.46968,8.81315,,,,,,,,,,,10.113,,19.3988,12.6434,,
238,49.3658,43.6047,39.4325,34.6048,30.6082,25.5976,23.2067,20.7104,17.8551,15.6387,14.4376,12.4641,11.2479,9.68276,8.22544,7.86895,,,,31.7368,,,,,,,10.7639,,,,,
239,43.6547,38.4187,34.9266,30.9085,26.5316,22.1304,20.399,18.3009,15.3515,13.4831,12.6301,10.5603,9.65552,8.34434,7.12921,7.03889,51.8684,,,,,,,,,,,,,8.04988,,
240,37.7465,33.5129,30.4635,26.9289,23.1111,19.1036,17.6825,15.7267,13.3315,11.8134,10.8815,8.9049,8.36623,7.10413,6.11022,6.07696,,55.5237,,15.6233,25.5078,,,,,,,,9.78568,,8.75911,
241,33.318,29.9507,26.934,23.2735,20.103,16.6069,15.3907,13.604,11.3402,10.1335,9.23966,7.73848,7.1932,6.01202,5.08761,5.24024,38.1431,,,,,,,11.6166,14.5428,,,,,,,
242,29.227,25.9358,23.0188,20.1507,17.8075,14.419,13.2359,11.7748,9.79811,8.80381,7.87216,6.6133,5.96623,5.05237,4.36556,4.38691,,28.5483,,,,,18.8335,,,,,,,6.52514,,2.95571
243,25.957,22.5046,20.6505,17.2786,15.375,12.9696,11.6523,10.2319,8.47656,7.7982,6.96318,5.66102,5.16223,4.50014,3.68448,3.70246,,,,,,,,,,5.45605,,5.67437,,,,
244,23.161,19.7895,18.3207,15.0412,13.6117,11.3919,10.0483,8.92248,7.5352,6.52176,6.1896,4.98089,4.45844,3.79525,3.25213,3.14473,23.8777,,,,,,,4.6532,,,,,,,,
245,21.1003,17.587,16.507,13.5143,12.1811,10.6348,8.727,7.62715,6.71433,5.86073,5.31006,4.50172,3.86678,3.16119,2.8463,2.71472,,,,25.8142,,,7.90048,,,,,,,,,
246,19.2649,16.2211,14.9705,12.2497,11.0189,9.52726,7.80613,6.86668,5.99566,5.43866,5.03561,3.9353,3.48717,2.77103,2.65095,2.26503,,,15.1468,,,,,,,,3.63543,,,,,
247,18.2645,15.8303,13.4165,10.6615,10.1439,8.58133,7.3642,6.36402,5.59281,4.97774,4.71654,3.59222,3.26607,2.59221,2.46557,2.09195,,,,,,,6.78113,,,,,,,,,
248,16.8372,14.5625,12.6989,9.89303,9.63648,8.01654,6.84628,6.31299,5.01963,4.49309,4.3167,3.32806,2.95918,2.61503,2.31727,1.93326,20.0591,,,8.29446,7.60599,6.71488,,,,,3.31153,,,,,
