HBindex,Tau01,Tau02,Tau03,Tau04,Tau05,Tau06,Tau07,Tau08,Tau09,Tau10,Tau11,Tau12,FitX,FitY
0.893633,,,,,,,,0.0967329,,,,,,
0.893965,,,,,,,,,,,,0.00532058,,
0.894054,,,,,,,,,,0.0772989,,,,
0.894733,,,,,0.125533,,,,,,,,,
0.895528,,,,,,0.122269,,,,,,,,
0.896988,,,,,,,,0.10101,,,,,,
0.897893,,,,,,,,,0.0907767,,,,,
0.898044,0.20395,,,,,,,,,,,,,
0.899012,,,,,,,,,,0.0792486,,,,
0.900275,,,0.153732,,,,,,,,,,,
0.903451,,,,,,0.1199,,,,,,,,
0.90487,,,,,,,,,,,0.0702723,,,
0.90525,,,,,,,,,,,0.0661944,,,
0.905662,,,,,,,,,0.0917064,,,,,
0.907249,,,,,,,,,,0.0742203,,,,
0.9116,,0.165171,,,,,,,,,,,,
0.915764,,,,,0.125918,,,,,,,,,
0.915894,,,0.160413,,,,,,,,,,,
0.916255,0.219241,,,,,,,,,,,,,
0.917022,0.18792,,,,,,,,,,,,,
0.919307,,,,,,,,0.105177,,,,,,
0.919577,,0.171871,,,,,,,,,,,,
0.92025,,,,,,,0.113565,,,,,,,
0.925185,,,,,,,,,,,,0.0180245,,
0.926648,,,,,,,,,0.0881142,,,,,
0.927557,,,0.149975,,,,,,,,,,,
0.928392,,,0.159855,,,,,,,,,,,
0.935568,,,,,,,,0.0990715,,,,,,
0.935776,0.209628,,,,,,,,,,,,,
0.9363,,,,,0.13021,,,,,,,,,
0.938403,,,,,,,,,,0.0783624,,,,
0.938722,,,,,,,,,,,0.0648363,,,
0.943125,,,,,,,,,,,0.0718765,,,
0.943587,0.189399,,,,,,,,,,,,,
0.944502,,,,0.149494,,,,,,,,,,
0.94594,,,,,,,0.114857,,,,,,,
0.946271,,,,,,,,,,,,0.0166731,,
0.946303,,0.17332,,,,,,,,,,,,
0.947613,,,,,,,,,0.0878292,,,,,
0.948828,,,,,,0.123153,,,,,,,,
0.949049,,,,,,,0.112519,,,,,,,
0.950355,,,,0.145859,,,,,,,,,,
0.953993,,,,0.140283,,,,,,,,,,
0.954166,,,,,,,,,0.0941084,,,,,
0.955971,,,,0.146782,,,,,,,,,,
0.955979,,,,,,,,,,0.0805849,,,,
0.956194,,,,,0.128822,,,,,,,,,
0.956383,,,,,,,,,,,0.0540807,,,
0.957717,,,,,,,0.110249,,,,,,,
0.959633,,0.171622,,,,,,,,,,,,
0.959869,,,,,,,,,,,0.0526321,,,
0.961441,,,,,,,0.113101,,,,,,,
0.962803,,,,,,,,,,,,0.0500753,,
0.964963,,,0.15044,,,,,,,,,,,
0.966242,,,,,0.128267,,,,,,,,,
0.967045,,,,,,,0.109293,,,,,,,
0.967435,,,,,,,,,0.0878874,,,,,
0.969743,,,0.159337,,,,,,,,,,,
0.972228,,,,,,,,,,,0.0536739,,,
0.973648,,,,,,,,,,0.0829624,,,,
0.975599,,,,0.145081,,,,,,,,,,
0.976067,,,,,,,0.111185,,,,,,,
0.976441,,,0.154098,,,,,,,,,,,
0.977027,,,,,,,,0.100899,,,,,,
0.979824,0.250468,,,,,,,,,,,,,
0.98108,,,,,,,,,,,0.056146,,,
0.981824,,,,,,,,,,0.0741106,,,,
0.98281,,,,,0.135724,,,,,,,,,
0.984098,,,,,,,,,,,0.0567862,,,
0.984444,,,,0.147889,,,,,,,,,,
0.984962,,,,,0.125833,,,,,,,,,
0.986861,,,,,,,0.111536,,,,,,,
0.987933,,,0.16018,,,,,,,,,,,
0.991077,,,,,,,,,,0.0735373,,,,
0.991292,,,,,,0.118805,,,,,,,,
0.992027,,,,,,,,,0.0877935,,,,,
0.994163,,,,,,,,0.105342,,,,,,
0.995024,,,,,,,,,,,,0.0397294,,
0.995955,,0.172036,,,,,,,,,,,,
0.996892,,,,,,,0.107073,,,,,,,
0.999429,,,,,,,,,,0.0753099,,,,
1.00147,,,,,,,,,0.0944264,,,,,
1.0025,,,,,,,,,,,0.0695953,,,
1.00421,,,,,,0.119704,,,,,,,,
1.01037,,,,,,,,,,0.0789754,,,,
1.0129,,,,,,0.116577,,,,,,,,
1.01479,,,,,,,,,0.0885811,,,,,
1.01798,,,,,,,,0.101078,,,,,,
1.01807,,,,,,,,0.10186,,,,,,
1.01888,,,,,,,0.110721,,,,,,,
1.01912,,,,,,0.115833,,,,,,,,
1.02017,,,,,,,,,,0.0757036,,,,
1.0204,0.185212,,,,,,,,,,,,,
1.0213,,,,,,,,,,0.072899,,,,
1.02169,,,,,,,,,,0.080151,,,,
1.02256,,,,,,0.119633,,,,,,,,
1.02272,,,,,,,,,0.0852478,,,,,
1.02304,,,,,,0.122624,,,,,,,,
1.02325,,,,,,,0.10794,,,,,,,
1.02341,0.188828,,,,,,,,,,,,,
1.02438,0.188795,,,,,,,,,,,,,
1.0248,,,,,,,0.11439,,,,,,,
1.02847,,,,,,,,,0.0943428,,,,,
1.03117,,,,,,,0.112694,,,,,,,
1.03133,,,,,,,,,,0.0725835,,,,
1.03154,,,,,0.127002,,,,,,,,,
1.03206,,,,,,,,,0.089152,,,,,
1.03282,,,,,,,,,,,,0.0486626,,
1.03428,,,,,,,,,0.0937108,,,,,
1.03461,,,,,,,,,,,0.058686,,,
1.03463,,,,,0.135091,,,,,,,,,
1.03556,,,,,,,,,,,0.0610768,,,
1.0359,,,,,,,,,,,0.05425,,,
1.037,,,,,,,0.115109,,,,,,,
1.03767,,,,,,,,,,,0.0526624,,,
1.03883,,,,,,,,,0.0864643,,,,,
1.0416,,,,,,,,,,0.0758862,,,,
1.04305,,,,,,0.123203,,,,,,,,
1.04321,,,,,,,,,,0.0821314,,,,
1.04341,,,,,,0.121551,,,,,,,,
1.0437,,,,,,,,,,,,0.0364215,,
1.04417,,,,,,0.116177,,,,,,,,
1.04793,,0.167988,,,,,,,,,,,,
1.05001,,,,,,,,,0.084726,,,,,
1.05119,,,,,,,,,,,0.0669925,,,
1.05125,,,,,,0.120733,,,,,,,,
1.05336,,,,,,,,0.0974866,,,,,,
1.05424,,,,,,,,,0.0900197,,,,,
1.05548,,,,,,,,0.100053,,,,,,
1.05568,,,,,,,,,0.0951433,,,,,
1.05671,,,,0.143168,,,,,,,,,,
1.05888,,,0.159507,,,,,,,,,,,
1.05911,,,,,,,,,,0.0780402,,,,
1.06052,,0.165773,,,,,,,,,,,,
1.06072,,,,,0.130422,,,,,,,,,
1.06129,,,0.150884,,,,,,,,,,,
1.0628,,,,,,,,0.10186,,,,,,
1.06291,,0.181743,,,,,,,,,,,,
1.06438,,,,,,,,,,,,0.004,,
1.0656,,,,,,,,,,,,0.04201,,
1.06587,,,,,,,,,,,,0.004,,
1.0667,,,,,,,,,,,0.0612662,,,
1.06746,,,,,,0.122848,,,,,,,,
1.06826,,0.183212,,,,,,,,,,,,
1.06905,,,,,,,,,0.0897103,,,,,
1.0711,,,,,,0.123294,,,,,,,,
1.07162,,,,,,,0.111051,,,,,,,
1.07251,,,,,,,0.107234,,,,,,,
1.07456,,,,,,0.122004,,,,,,,,
1.07709,,,,,,,0.113329,,,,,,,
1.07809,,,,,,0.117065,,,,,,,,
1.07903,,,,,,,,0.101842,,,,,,
1.08192,,,,0.139416,,,,,,,,,,
1.0822,,,,,0.134355,,,,,,,,,
1.08296,,,,,,,,,,0.0758478,,,,
1.08357,,,,,,,0.110758,,,,,,,
1.08368,,,,,0.137155,,,,,,,,,
1.08378,,,,0.143328,,,,,,,,,,
1.08743,,,,,,,,,,,0.0671664,,,
1.08771,,,,,,,,0.101495,,,,,,
1.08773,,0.178563,,,,,,,,,,,,
1.08848,,,,,,,0.113495,,,,,,,
1.08941,,0.16695,,,,,,,,,,,,
1.09072,,,,,,,,,0.0898149,,,,,
1.09146,,,,,,0.124464,,,,,,,,
1.09228,,,,,,,,,,,0.0678226,,,
1.09896,,,,,,,0.112183,,,,,,,
1.099,,,,,,,,,,0.0775577,,,,
1.09962,,,,,,,,,,,0.0518564,,,
1.10061,,,,,,0.118469,,,,,,,,
1.10109,,,,,,0.118077,,,,,,,,
1.10186,,,,,,,,,,,0.0671845,,,
1.10202,,,,,,,0.112128,,,,,,,
1.10227,,,,,,,,,,,0.0686336,,,
1.10398,,,,,,,,,,,,0.0425734,,
1.10531,,,,,,,,,,,,0.0467526,,
1.10568,,,,,,,,,,0.0782907,,,,
1.10607,,,,,,,,,0.094244,,,,,
1.10809,,,,,,,0.105693,,,,,,,
1.10835,,,,,,,,,,,,0.0434683,,
1.10853,,,0.157991,,,,,,,,,,,
1.10921,,,,0.142357,,,,,,,,,,
1.11119,,,,,,,,,0.0896561,,,,,
1.11184,,,,,,,0.113854,,,,,,,
1.11234,,,0.153895,,,,,,,,,,,
1.11316,,,,,,0.121649,,,,,,,,
1.11391,,,,,,,0.115145,,,,,,,
1.11475,,,0.149657,,,,,,,,,,,
1.11573,,0.170929,,,,,,,,,,,,
1.11641,,,,,,,,,,,,0.0357247,,
1.11643,,,,,,,,,0.0923884,,,,,
1.11979,,,0.160935,,,,,,,,,,,
1.12065,,,0.159796,,,,,,,,,,,
1.12255,,,,,,,,,,,0.0528005,,,
1.12279,,,,0.1377,,,,,,,,,,
1.12386,,,,,,,,,,,0.0556015,,,
1.12563,,,,,,,,,0.0880208,,,,,
1.12572,,,,0.141386,,,,,,,,,,
1.12767,,,,,,,,,0.0862476,,,,,
1.12861,0.185933,,,,,,,,,,,,,
1.13012,,,,,,,,0.103388,,,,,,
1.13053,,,,,,,,,,,,0.0493701,,
1.13145,,,,,,,0.11551,,,,,,,
1.13214,,,,,0.126019,,,,,,,,,
1.13366,,,,,,,,,,,,0.0110598,,
1.13393,,,,,,,,,0.0936397,,,,,
1.13909,,0.173824,,,,,,,,,,,,
1.14179,,,,,,,0.110089,,,,,,,
1.14572,,,,0.143783,,,,,,,,,,
1.14606,,,,,,0.121191,,,,,,,,
1.14809,,,,,,0.123501,,,,,,,,
1.14911,,,,,,0.119966,,,,,,,,
1.14963,,,,,,,,,0.089582,,,,,
1.15359,,,,,,,,,0.0872662,,,,,
1.1547,,,,,,,,,0.0947728,,,,,
1.15491,,,,,,,,0.105301,,,,,,
1.15651,,0.163469,,,,,,,,,,,,
1.15682,,,,,,,0.105758,,,,,,,
1.15802,,,,,0.125748,,,,,,,,,
1.15869,,,,,,,,,0.0916443,,,,,
1.16012,,,,,,,0.11537,,,,,,,
1.16312,,,0.161322,,,,,,,,,,,
1.16391,0.236723,,,,,,,,,,,,,
1.165,,,,,,,0.111149,,,,,,,
1.16537,,,,,0.131281,,,,,,,,,
1.16772,,,,,,,,,,0.0805965,,,,
1.17012,,,,0.143474,,,,,,,,,,
1.17216,,,,,,,,,,0.0792246,,,,
1.17363,,,0.150053,,,,,,,,,,,
1.17449,,,,0.138959,,,,,,,,,,
1.17586,,,,0.144639,,,,,,,,,,
1.17589,,,,,,,,,,0.0771873,,,,
1.17668,,,,,,,,,,0.0729746,,,,
1.18031,,,,,,,,,,0.0735636,,,,
1.18209,,,,,,,,0.105291,,,,,,
1.18238,,,,,,,,0.104099,,,,,,
1.18245,,,,,,,,0.0990653,,,,,,
1.18296,,,,,,,,,,,0.0704339,,,
1.18548,,,,,,,,0.097154,,,,,,
1.18562,,,,,,,,,,,0.0634963,,,
1.18585,,,,,,,,,,0.0733776,,,,
1.18682,,,0.149742,,,,,,,,,,,
1.18693,,,,,,,,0.103582,,,,,,
1.18838,,,,,,0.123646,,,,,,,,
1.18855,,,,,,,,0.104478,,,,,,
1.191,,,,,,0.118572,,,,,,,,
1.1924,,,,0.140587,,,,,,,,,,
1.19292,,,,,,,,0.105037,,,,,,
1.19324,0.187013,,,,,,,,,,,,,
1.19409,0.19637,,,,,,,,,,,,,
1.19599,,,,,,,,0.103409,,,,,,
1.19722,,,0.15539,,,,,,,,,,,
1.20012,,,,,,,,,,,0.0570622,,,
1.20078,,,,0.14469,,,,,,,,,,
1.2016,,,,,,,,,0.0957928,,,,,
1.20225,,,0.162626,,,,,,,,,,,
1.2026,0.196363,,,,,,,,,,,,,
1.20344,,,,,,,,,,0.0760022,,,,
1.20456,,,,,,,0.114635,,,,,,,
1.20558,0.206336,,,,,,,,,,,,,
1.20583,,,,,,0.124706,,,,,,,,
1.2063,,,,0.145535,,,,,,,,,,
1.20636,,,,,,,,,,0.0795429,,,,
1.20765,,0.181094,,,,,,,,,,,,
1.21104,,,,,,,,,0.0862453,,,,,
1.21296,,,,,,,,,,,,0.0296958,,
1.21321,,,,0.143671,,,,,,,,,,
1.21449,,,,,,,,,,,,0.0391798,,
1.21645,,,,,0.134486,,,,,,,,,
1.21661,0.186957,,,,,,,,,,,,,
1.21864,,,,,,,,,,,0.0686571,,,
1.22051,,,,0.146733,,,,,,,,,,
1.22226,,,0.150409,,,,,,,,,,,
1.22575,,,,,,0.116507,,,,,,,,
1.22648,,,,,,,0.114499,,,,,,,
1.22951,,,,,,0.123183,,,,,,,,
1.22964,,,,,,,,,,0.0732628,,,,
1.23053,,,0.151142,,,,,,,,,,,
1.23056,,,,,,,,,,,0.0568056,,,
1.23064,0.21424,,,,,,,,,,,,,
1.23108,,,,0.143842,,,,,,,,,,
1.23331,,,,,,,,,,,,0.004,,
1.23496,0.199264,,,,,,,,,,,,,
1.23557,,,0.150521,,,,,,,,,,,
1.23687,,,,,,0.121902,,,,,,,,
1.2372,,,,,,,,,0.0856331,,,,,
1.23955,0.18901,,,,,,,,,,,,,
1.24097,,,,,,,,0.101594,,,,,,
1.24116,,,,,,,,,,,,0.0455501,,
1.24634,,,,,,,,,,,,0.021307,,
1.24806,,,,,,,,,,0.0765218,,,,
1.24921,,,,,,,,,,,0.0522342,,,
1.25061,,,,,0.12505,,,,,,,,,
1.25215,,,,,,,,,,,,0.0281861,,
1.25408,,,,,0.12858,,,,,,,,,
1.25484,,,,,,,,,,,,0.0234629,,
1.25529,,0.173632,,,,,,,,,,,,
1.25592,,,,,,,,,,,0.057772,,,
1.25618,,,,,0.125941,,,,,,,,,
1.25816,,,,,,,,,,0.0791227,,,,
1.26017,,,0.157775,,,,,,,,,,,
1.26108,,,,,,,0.113977,,,,,,,
1.26121,,0.174313,,,,,,,,,,,,
1.26342,,,,,0.133639,,,,,,,,,
1.26447,0.217379,,,,,,,,,,,,,
1.26557,,,,,,,,,,,0.0692536,,,
1.26613,,,,,,,,0.100441,,,,,,
1.26652,0.191247,,,,,,,,,,,,,
1.26693,,,,0.142368,,,,,,,,,,
1.26835,,,,,,,,,,0.0798473,,,,
1.26921,,,,,,,,0.101221,,,,,,
1.26955,,,,,,,,,0.0937789,,,,,
1.27315,,,,,,,0.112479,,,,,,,
1.27599,,,,,,0.11813,,,,,,,,
1.2779,,,,0.147638,,,,,,,,,,
1.28191,,,,,,,,,,,0.0644587,,,
1.28211,,,,,,,,,,0.0735996,,,,
1.28271,0.234221,,,,,,,,,,,,,
1.28288,,,,,,,,,0.085049,,,,,
1.28297,,,,,,,,0.103848,,,,,,
1.28376,,,,0.141534,,,,,,,,,,
1.28432,,,,,,,,,,,,0.0265497,,
1.28528,,,,,,,,,,,,0.004,,
1.28777,,,,,,,,,0.088525,,,,,
1.28802,,,,,,0.115707,,,,,,,,
1.28873,0.187593,,,,,,,,,,,,,
1.29043,,,,,,,,,0.0928919,,,,,
1.29151,,,,,,,,,,0.0744894,,,,
1.29252,,,,,,0.123039,,,,,,,,
1.29432,,,,0.137567,,,,,,,,,,
1.29526,,,,,,,,,0.0904557,,,,,
1.29546,,,,,0.128794,,,,,,,,,
1.29601,,,,,,0.120408,,,,,,,,
1.2982,,,,,,,,,0.0952328,,,,,
1.30079,,,,,,,,,,0.0831226,,,,
1.30177,,,,,,,,,0.091783,,,,,
1.30319,,,,,,0.11685,,,,,,,,
1.3049,,,,0.142382,,,,,,,,,,
1.30535,,,,,0.134284,,,,,,,,,
1.30616,,,,,,,,,,0.0844595,,,,
1.30844,,,,,,,,0.104943,,,,,,
1.31032,,0.169359,,,,,,,,,,,,
1.31041,,,,,,,0.112151,,,,,,,
1.31073,,,,,,,,,,0.0841858,,,,
1.31351,,,,,0.134781,,,,,,,,,
1.31562,,,,,,0.123356,,,,,,,,
1.31573,,,,,,0.116041,,,,,,,,
1.31648,,,,,,,,,,0.0731588,,,,
1.3176,,,,,0.136728,,,,,,,,,
1.31812,,,,,,,,,,,0.0706708,,,
1.31838,,,,,0.126057,,,,,,,,,
1.32108,,,,,,,,,,0.0807289,,,,
1.32141,,,,,0.12709,,,,,,,,,
1.32449,0.197449,,,,,,,,,,,,,
1.32544,0.183884,,,,,,,,,,,,,
1.32591,,,,,,,,0.105451,,,,,,
1.33026,0.188398,,,,,,,,,,,,,
1.33031,,,,,,,0.112988,,,,,,,
1.33166,,,,,,,,,,0.0734743,,,,
1.3344,,,,,,,,,,,,0.0219786,,
1.33771,,,,,0.128903,,,,,,,,,
1.33817,,,,,,,0.113649,,,,,,,
1.33913,,,,,,,,0.100709,,,,,,
1.33924,,,,,,,,,,,0.0634838,,,
1.33964,,,,,,,,,,,0.0676588,,,
1.34129,,0.172041,,,,,,,,,,,,
1.34142,,,,,,,,,0.0943045,,,,,
1.34591,,,,,,,,0.100423,,,,,,
1.34598,,,0.152296,,,,,,,,,,,
1.34611,,,,,,0.122642,,,,,,,,
1.34649,,,0.154769,,,,,,,,,,,
1.34727,,,,,,,,,,,,0.0451806,,
1.35,,,,,,,,,,,0.0556482,,,
1.3511,0.186262,,,,,,,,,,,,,
1.35425,,,,,,,,,,0.0750181,,,,
1.35518,,,,,,,,0.103291,,,,,,
1.3591,,,,,,,,0.0990637,,,,,,
1.36515,,,,0.143171,,,,,,,,,,
1.36567,,,,,,,,,,0.0727261,,,,
1.36583,,,,,,,,0.102834,,,,,,
1.36604,,,,,,,,0.100408,,,,,,
1.36605,,,,,,,,,0.0937367,,,,,
1.36642,,,,,,,,,,0.077833,,,,
1.36738,,,,,,0.11682,,,,,,,,
1.36821,,,0.153252,,,,,,,,,,,
1.36992,,,,,,,,,0.0861426,,,,,
1.37042,,,0.157578,,,,,,,,,,,
1.37073,,,,,,,,0.102542,,,,,,
1.371,,,,,,,,,,,,0.00698252,,
1.37165,,,,,,,,,,,0.0720139,,,
1.37213,0.18807,,,,,,,,,,,,,
1.37379,,,,,,,,,,,0.0518819,,,
1.37557,,,,,,,,,,,,0.0457514,,
1.37582,,,,,,,0.11133,,,,,,,
1.37704,,,,,,,,,,0.0763774,,,,
1.37952,,,0.154516,,,,,,,,,,,
1.38085,,,,,,,,,0.0935951,,,,,
1.38428,,,,,,,,,,,,0.0245932,,
1.38487,,,,,0.125901,,,,,,,,,
1.38498,,,,,,,,0.100994,,,,,,
1.38513,,,,,,,0.107419,,,,,,,
1.38573,,,,,0.13342,,,,,,,,,
1.38598,,,,0.142371,,,,,,,,,,
1.38999,,,,,,,,,,,0.0605584,,,
1.39454,,,,,,,,,,,0.0668243,,,
1.39477,,,,,,,,0.0964501,,,,,,
1.39592,,,,,,,,,0.0955941,,,,,
1.3961,,,,,,0.118243,,,,,,,,
1.39692,,,,,,,,,0.0857666,,,,,
1.39752,,,,,,,0.110803,,,,,,,
1.4013,,,,,,0.123386,,,,,,,,
1.40257,,,,,,0.115533,,,,,,,,
1.40478,,,0.151931,,,,,,,,,,,
1.40635,,,,0.140688,,,,,,,,,,
1.40747,,,,,,0.119364,,,,,,,,
1.40833,,,,,,,,,0.0867369,,,,,
1.40847,,,,,,,,,,,0.0569393,,,
1.41014,,,,,,,0.112288,,,,,,,
1.41299,,,,0.147876,,,,,,,,,,
1.41322,,,,,,0.116455,,,,,,,,
1.41848,,,,0.145068,,,,,,,,,,
1.42333,,,,,,,0.109704,,,,,,,
1.42432,,,,,,,0.110548,,,,,,,
1.42599,0.24672,,,,,,,,,,,,,
1.42699,,0.170234,,,,,,,,,,,,
1.42822,,,,,,0.116354,,,,,,,,
1.43057,,,,,,,,,0.0901164,,,,,
1.43119,,,,,,,,,,,,0.0470871,,
1.43378,,,,,,,,,,,,0.004,,
1.4353,,,,,,,,0.101136,,,,,,
1.43602,,,,,,,0.106809,,,,,,,
1.44171,,,,,,0.116703,,,,,,,,
1.4424,,,,,,,,,,,,0.0405062,,
1.44244,,,,,,,0.113793,,,,,,,
1.4438,,,,,,,0.108526,,,,,,,
1.44501,,,,,,,0.106293,,,,,,,
1.4457,,,,,,,,,0.0918076,,,,,
1.44644,,,,,,,,0.0985042,,,,,,
1.44649,,,,,,,,,,0.074732,,,,
1.44757,,,,,,0.119825,,,,,,,,
1.44765,,,,,,,,0.100504,,,,,,
1.45147,,,,,,,,0.0993405,,,,,,
1.45228,,,0.152001,,,,,,,,,,,
1.45457,,0.175958,,,,,,,,,,,,
1.45526,,,,,,,,,,,0.0698983,,,
1.45802,,,,,0.132261,,,,,,,,,
1.45892,,,,0.140578,,,,,,,,,,
1.45904,,0.171379,,,,,,,,,,,,
1.46048,,,,,,,,,,0.0790479,,,,
1.46446,,,,,,,,,,,,0.0129564,,
1.46482,,,,,,0.117585,,,,,,,,
1.47144,,,,,,,,,,,,0.03226,,
1.47191,,,,,,,,0.096322,,,,,,
1.47346,,,,0.144237,,,,,,,,,,
1.47504,,0.175634,,,,,,,,,,,,
1.47775,,,,,,,,,,,,0.0397853,,
1.47824,,,,,,,,,,,,0.0341301,,
1.48008,,,0.15987,,,,,,,,,,,
1.483,,,,,,,,,,,0.0573187,,,
1.48414,,,,,,,,,,0.0824907,,,,
1.48434,,,,,,,,0.10339,,,,,,
1.48517,,,,,,,,,0.086289,,,,,
1.48587,,,,0.1403,,,,,,,,,,
1.48806,,,,,0.13603,,,,,,,,,
1.4889,,,,,0.132137,,,,,,,,,
1.48969,,,,,,,,,0.093819,,,,,
1.49029,,,,,,,,,,,,0.0360855,,
1.49161,,,,,,,,,0.093188,,,,,
1.49266,,0.180104,,,,,,,,,,,,
1.49406,,,,,,,,,,,,0.0404711,,
1.49433,,,,,,,,,0.0877475,,,,,
1.49635,,,,,,,,,,,0.0625868,,,
1.49906,,,,,,,,,,,,0.0375911,,
1.50063,,0.173883,,,,,,,,,,,,
1.50228,,,,,,,,,,,,0.004,,
1.50287,,,,,,,,,,0.0749121,,,,
1.50389,,,,,,,,,,,,0.0365885,,
1.5062,,,,,0.125882,,,,,,,,,
1.5064,,,,,,0.122615,,,,,,,,
1.50704,,0.165379,,,,,,,,,,,,
1.50809,,,0.158172,,,,,,,,,,,
1.50928,,,,,0.130702,,,,,,,,,
1.50932,,,,,,,,,0.0921591,,,,,
1.51036,,,,,,,,,,,,0.0500414,,
1.51281,,0.179251,,,,,,,,,,,,
1.51367,,,0.1607,,,,,,,,,,,
1.51437,,,,,0.135068,,,,,,,,,
1.51474,,,,,,,,,0.0916628,,,,,
1.51534,,,,,,,,,,,,0.0259805,,
1.51657,,,,,,,,,,,0.070056,,,
1.51715,,,,,,,0.114175,,,,,,,
1.5175,,,,,,0.122429,,,,,,,,
1.51797,,,,,0.134735,,,,,,,,,
1.51816,,,0.157968,,,,,,,,,,,
1.51838,,,,,,,,,0.0914532,,,,,
1.52072,,,,,,,,,,,,0.0123164,,
1.52757,,,,,,,,,0.0924635,,,,,
1.5279,,,0.159505,,,,,,,,,,,
1.52957,,,,,0.137496,,,,,,,,,
1.52997,,,,,0.134479,,,,,,,,,
1.53011,,0.177392,,,,,,,,,,,,
1.53386,,0.176663,,,,,,,,,,,,
1.53741,,,,,,,,0.0995092,,,,,,
1.53903,,,,0.141,,,,,,,,,,
1.53998,,,,,,,,0.103553,,,,,,
1.54434,,,,,,,0.113504,,,,,,,
1.54476,,,,,,,,,,0.081247,,,,
1.54516,,,,,,,,,0.0853262,,,,,
1.54614,,,,,0.131068,,,,,,,,,
1.55058,,,,,,,0.110637,,,,,,,
1.55089,,,,,,,,,,,,0.0397453,,
1.5517,,,,0.143042,,,,,,,,,,
1.55356,,,,,,,,,,,,0.0371984,,
1.55472,,,,,,,,,,0.081617,,,,
1.55655,,,,,,,,,0.088514,,,,,
1.56808,,,,,,,,,,,0.0641796,,,
1.57272,,,,,0.127245,,,,,,,,,
1.57389,,,,,,,,,,,,0.0464542,,
1.57717,,,,,,,,,,0.081566,,,,
1.5774,,,,,0.134771,,,,,,,,,
1.57845,,,,,,,,0.103261,,,,,,
1.58043,,,,,,,,,,,,0.0383673,,
1.58496,,,,,,,,,0.0922645,,,,,
1.58655,,,,,,,0.113597,,,,,,,
1.58898,,,,0.138194,,,,,,,,,,
1.59143,,,,0.139462,,,,,,,,,,
1.59516,,,,0.146542,,,,,,,,,,
1.59584,0.216989,,,,,,,,,,,,,
1.59629,,,,,,,,,,0.0805076,,,,
1.60183,,,,,,,,0.101806,,,,,,
1.60199,,,,,,,,,,0.0826774,,,,
1.60238,,,,,,,,,0.0917372,,,,,
1.60429,,,0.157525,,,,,,,,,,,
1.60494,,,,,,,,,0.0926929,,,,,
1.60549,,,,,,,,0.0975459,,,,,,
1.60597,,,,,,,,,,0.0721946,,,,
1.60978,,,0.150998,,,,,,,,,,,
1.61128,,,,0.141495,,,,,,,,,,
1.61222,,,,,,,,,,,0.0584754,,,
1.61227,,0.166567,,,,,,,,,,,,
1.61599,,,0.153663,,,,,,,,,,,
1.61671,,,,,,0.117715,,,,,,,,
1.61744,,,,,,0.12164,,,,,,,,
1.61808,,,,,,,,0.0990529,,,,,,
1.62342,,,,,,,0.107527,,,,,,,
1.62399,,,,,,,,,,,,0.004,,
1.62706,,,,,,,,,0.0846012,,,,,
1.62761,,,0.152066,,,,,,,,,,,
1.6285,,,,,0.129601,,,,,,,,,
1.62932,,,0.156518,,,,,,,,,,,
1.63558,,,,0.146146,,,,,,,,,,
1.63802,,,,,,0.117927,,,,,,,,
1.63874,,,,,,0.122075,,,,,,,,
1.64502,,,0.149525,,,,,,,,,,,
1.64533,,,,0.1411,,,,,,,,,,
1.64562,,,,0.145591,,,,,,,,,,
1.64778,,0.16644,,,,,,,,,,,,
1.6491,,,,,,0.124331,,,,,,,,
1.65065,,,,0.139376,,,,,,,,,,
1.65092,,,,,,,0.109728,,,,,,,
1.65115,,,0.150871,,,,,,,,,,,
1.65145,,,,,,,0.114446,,,,,,,
1.65205,,,,,,,,,0.0896812,,,,,
1.65335,,,,,,,,,,0.079582,,,,
1.65519,,,,,,,,0.0994906,,,,,,
1.65611,,,,,,,,,,0.079805,,,,
1.65625,,0.163641,,,,,,,,,,,,
1.65646,,,,,,,,,0.0867486,,,,,
1.66549,,,,,,,,,,0.0842846,,,,
1.66551,,,,0.138844,,,,,,,,,,
1.66561,,,,,,,,,,,,0.0319989,,
1.66597,,0.179688,,,,,,,,,,,,
1.66639,,,0.149635,,,,,,,,,,,
1.6685,,,0.149786,,,,,,,,,,,
1.67225,,,,,,,,,,,,0.0451615,,
1.67392,,,,,,,,,,,0.0661596,,,
1.67398,,,,,,,,,,,,0.0387478,,
1.67416,,,,,,,,,,0.0786007,,,,
1.67669,,,,,,,,,,,,0.0370963,,
1.67816,,,,,,,0.113657,,,,,,,
1.67877,,,,,0.131075,,,,,,,,,
1.68262,,,,,,,,,,,,0.0133679,,
1.68306,,,,,,,,0.0995466,,,,,,
1.68502,,,,,,,,,,,0.0643918,,,
1.68602,,,,,,,,,0.0893536,,,,,
1.68695,,,,,,,0.106531,,,,,,,
1.6882,,,,,,0.117638,,,,,,,,
1.689,,,,,,0.119556,,,,,,,,
1.69049,,,,,,0.120267,,,,,,,,
1.6906,0.183808,,,,,,,,,,,,,
1.69081,0.188874,,,,,,,,,,,,,
1.69214,,,,,,,,,,0.0750394,,,,
1.69422,0.198675,,,,,,,,,,,,,
1.69684,,,,,,,0.11128,,,,,,,
1.69921,,0.181406,,,,,,,,,,,,
1.70298,,,,,,,,,0.0878734,,,,,
1.70543,,,,,,,,,,0.0796867,,,,
